timestamp,zone_name,people_count,density,avg_speed_mps,stagnation_ratio,avg_dwell_time_sec,flow_conflict_ratio,directional_entropy,acceleration_variance,zone_transitions,inflow,outflow,risk_label,scenario
0.0,FOOD_COURT_A,8.26,0.0551,0.8958,0.0817,42.11,0.0397,0.2359,0.0013,2.11,2.11,0.0,SAFE,weekday_normal
1.0,FOOD_COURT_A,23.01,0.1534,0.9315,0.1077,34.6,0.0284,0.4739,0.002174,4.79,3.6,1.19,SAFE,weekday_normal
2.0,FOOD_COURT_A,22.5,0.15,1.0292,0.0771,51.83,0.0727,0.3688,0.001322,5.78,3.26,2.52,SAFE,weekday_normal
3.0,FOOD_COURT_A,21.59,0.144,1.2927,0.0419,49.24,0.0229,0.2791,0.002772,8.19,4.61,3.58,SAFE,weekday_normal
4.0,FOOD_COURT_A,15.35,0.1023,0.9507,0.1151,40.62,0.0252,0.2897,0.001349,7.9,3.7,4.2,SAFE,weekday_normal
5.0,FOOD_COURT_A,24.76,0.1651,0.9784,0.0915,47.16,0.0909,0.3267,0.002245,3.37,1.84,1.53,SAFE,weekday_normal
6.0,FOOD_COURT_A,27.27,0.1818,1.1854,0.0539,44.85,0.1105,0.4448,0.004867,12.39,4.01,8.38,SAFE,weekday_normal
7.0,FOOD_COURT_A,17.58,0.1172,1.2109,0.0736,45.92,0.0335,0.395,0.00406,8.26,5.72,2.55,SAFE,weekday_normal
8.0,FOOD_COURT_A,18.89,0.1259,1.1286,0.1131,57.44,0.0732,0.4249,0.005239,6.62,3.76,2.86,SAFE,weekday_normal
9.0,FOOD_COURT_A,24.55,0.1636,1.1099,0.0425,51.84,0.0853,0.4079,0.003343,4.07,1.38,2.69,SAFE,weekday_normal
10.0,FOOD_COURT_A,24.93,0.1662,1.1439,0.0918,25.82,0.0552,0.5203,0.003077,2.71,0.99,1.72,SAFE,weekday_normal
11.0,FOOD_COURT_A,16.45,0.1097,1.1937,0.201,37.23,0.081,0.4332,0.001387,9.67,5.21,4.45,SAFE,weekday_normal
12.0,FOOD_COURT_A,15.04,0.1003,1.4403,0.1893,57.29,0.0556,0.4164,0.001825,10.77,4.88,5.88,SAFE,weekday_normal
13.0,FOOD_COURT_A,24.58,0.1639,1.0007,0.1297,37.53,0.086,0.3277,0.004817,5.17,2.33,2.84,SAFE,weekday_normal
14.0,FOOD_COURT_A,43.5,0.29,0.8253,0.378,86.97,0.3453,0.752,0.00871,9.54,6.49,3.05,WARNING,weekday_normal
15.0,FOOD_COURT_A,60.23,0.4015,0.7684,0.4002,96.98,0.3518,0.654,0.011826,12.6,7.73,4.86,WARNING,weekday_normal
16.0,FOOD_COURT_A,33.98,0.2266,0.8576,0.2341,74.51,0.1821,0.396,0.004596,6.28,1.8,4.48,SAFE,weekday_normal
17.0,FOOD_COURT_A,32.62,0.2174,1.2411,0.2199,51.28,0.0895,0.3241,0.002337,7.22,3.38,3.84,SAFE,weekday_normal
18.0,FOOD_COURT_A,31.86,0.2124,1.3065,0.2508,47.87,0.0435,0.3743,0.001453,8.35,4.97,3.39,SAFE,weekday_normal
19.0,FOOD_COURT_A,23.62,0.1574,1.1928,0.1752,50.83,0.067,0.3212,0.000436,7.44,2.83,4.61,SAFE,weekday_normal
20.0,FOOD_COURT_A,26.18,0.1746,1.214,0.149,65.26,0.0826,0.3084,0.003711,8.21,3.58,4.63,SAFE,weekday_normal
21.0,FOOD_COURT_A,29.07,0.1938,0.9631,0.0753,56.49,0.0952,0.4158,0.008607,9.38,4.36,5.03,SAFE,weekday_normal
22.0,FOOD_COURT_A,24.98,0.1665,1.1598,0.0442,32.69,0.0892,0.3328,0.004627,3.34,2.7,0.64,SAFE,weekday_normal
23.0,FOOD_COURT_A,24.49,0.1633,1.1053,0.129,41.98,0.0526,0.3198,0.004439,6.05,2.4,3.65,SAFE,weekday_normal
24.0,FOOD_COURT_A,36.44,0.2429,1.4942,0.166,52.8,0.0722,0.4131,0.004899,5.22,2.56,2.66,SAFE,weekday_normal
