sequence_id,time_sec,zone,people_count,density,avg_speed_mps,stagnation_ratio,avg_dwell_time_sec,flow_conflict_ratio,directional_entropy,acceleration_variance,zone_transitions,inflow,outflow,risk_label,risk_class
1,0,EVENT_ATRIUM,188,0.705,0.729,0.495,73.74,0.301,0.693,-0.908,4,4,5,WARNING,1
1,1,EVENT_ATRIUM,182,0.657,0.834,0.367,62.5,0.33,0.681,-0.828,4,13,5,WARNING,1
1,2,LIVE_PERFORMANCE_ZONE,183,0.716,0.736,0.341,62.15,0.289,0.776,-1.09,9,10,8,WARNING,1
1,3,MALL_CONCERT_STAGE,199,0.75,0.71,0.387,84.41,0.373,0.736,-0.62,7,6,12,WARNING,1
1,4,FESTIVAL_CORRIDOR,181,0.707,0.816,0.377,84.59,0.382,0.614,-0.247,4,14,10,WARNING,1
1,5,LIVE_PERFORMANCE_ZONE,184,0.747,0.65,0.42,79.58,0.39,0.699,-1.26,8,3,9,WARNING,1
1,6,EVENT_ATRIUM,170,0.687,0.895,0.531,63.73,0.359,0.744,-0.729,8,11,6,WARNING,1
1,7,EVENT_ATRIUM,184,0.719,0.738,0.403,75.93,0.299,0.763,-0.579,12,7,4,WARNING,1
1,8,MALL_CONCERT_STAGE,186,0.659,0.952,0.337,79.19,0.31,0.694,-1.179,5,8,9,WARNING,1
1,9,LIVE_PERFORMANCE_ZONE,164,0.616,1.024,0.303,70.39,0.327,0.642,-0.714,6,7,7,SAFE,0
1,10,LIVE_PERFORMANCE_ZONE,187,0.753,0.812,0.467,73.56,0.327,0.737,-1.246,4,10,9,WARNING,1
1,11,EVENT_ATRIUM,192,0.763,0.865,0.421,83.81,0.354,0.786,-0.856,10,7,6,WARNING,1
1,12,MALL_CONCERT_STAGE,183,0.669,0.9,0.295,73.55,0.314,0.631,-0.361,6,11,10,WARNING,1
1,13,MALL_CONCERT_STAGE,210,0.82,0.663,0.544,92,0.466,0.795,-0.514,6,12,13,WARNING,1
1,14,LIVE_PERFORMANCE_ZONE,181,0.742,0.735,0.48,79.17,0.405,0.769,-0.963,8,7,12,WARNING,1
1,15,FESTIVAL_CORRIDOR,178,0.674,0.72,0.443,78.12,0.318,0.731,-1.499,8,7,4,WARNING,1
1,16,LIVE_PERFORMANCE_ZONE,195,0.743,0.82,0.409,67.88,0.377,0.733,-0.429,4,8,3,WARNING,1
1,17,LIVE_PERFORMANCE_ZONE,177,0.663,0.849,0.25,60.43,0.373,0.797,-0.818,4,7,9,WARNING,1
1,18,EVENT_ATRIUM,189,0.776,0.865,0.526,69.42,0.327,0.788,-0.527,4,8,6,WARNING,1
1,19,MALL_CONCERT_STAGE,176,0.661,0.915,0.374,85.18,0.382,0.76,-0.995,4,7,6,WARNING,1
1,20,MALL_CONCERT_STAGE,214,0.805,0.697,0.451,85.56,0.412,0.827,-0.895,6,14,15,WARNING,1
1,21,LIVE_PERFORMANCE_ZONE,183,0.729,0.869,0.406,70.13,0.361,0.759,-0.584,7,9,10,WARNING,1
1,22,MALL_CONCERT_STAGE,201,0.784,0.729,0.448,77.87,0.318,0.822,-1.353,5,13,5,WARNING,1
